word,translation,pronunciation,partOfSpeech,definition,exampleSentence
bell pepper,甜椒,/bɛl ˈpɛpər/,noun,"a colorful vegetable shaped like a bell - can be red, yellow, or green",Bell peppers come in different colors.
potato,土豆,/pəˈteɪˌtoʊ/,noun,"a brown vegetable that grows underground - you can bake, fry, or mash it",I like baked potatoes.
lettuce,生菜,/ˈlɛtəs/,noun,crispy green leaves that make salads fresh and crunchy,Lettuce is fresh and green.
cake,蛋糕,/keɪk/,noun,"a sweet, fluffy dessert that makes birthdays special - usually has frosting on top",Happy birthday! Here's your cake.
croissant,牛角面包,/kwɑːˈsɑːnt/,noun,"a buttery, flaky French pastry shaped like a crescent moon",I had a croissant with my coffee.
butter,黄油,/ˈbətər/,noun,soft yellow stuff made from milk - spread it on bread to make it yummy,Spread some butter on your bread.
cream,奶油,/krim/,noun,"the thick, rich part of milk - makes coffee and desserts taste amazing",Do you want cream in your coffee?
cheese,奶酪,/ʧiz/,noun,"a yummy food made from milk - can be yellow or white, and melts on pizza",I love cheese on pizza.
milk,牛奶,/mɪlk/,noun,white liquid from cows that makes your bones strong - drink it cold,Milk is good for your bones.
yogurt,酸奶,/ˈjoʊɡərt/,noun,"thick, creamy food made from milk - eat it with fruit for breakfast",Yogurt is healthy for breakfast.
egg,鸡蛋,/ɛg/,noun,a white or brown oval from chickens - crack it open and cook it,I had two eggs for breakfast.
fish,鱼,/fɪʃ/,noun,an animal that swims in water - you can eat it and it's healthy,Fish is healthy to eat.
seafood,海鲜,/ˈsiˌfud/,noun,"delicious food from the ocean like fish, shrimp, and crabs",We ordered seafood at the restaurant.
meat,肉类,/mit/,noun,food from animals like beef and chicken - full of protein,Some people don't eat meat.
water,水,/ˈwɔtər/,noun,clear liquid that has no taste - you need it to live and stay healthy,Drink plenty of water every day.
wine,葡萄酒,/waɪn/,noun,a special drink made from grapes - only for adults,Would you like some wine with dinner?
one,一个,/wən/,determiner,the number 1 - like having one cookie,I have one sister.
two,两个,/tu/,determiner,the number 2 - like having two eyes,There are two cats in the garden.
three,三个,/θri/,determiner,the number 3 - like having three meals a day,We need three more chairs.
four,四个,/fɔr/,determiner,the number 4 - like four seasons in a year,She has four children.
five,五个,/faɪv/,determiner,the number 5 - like five fingers on one hand,The meeting starts at five o'clock.
many,很多,/ˈmɛni/,determiner,a lot of things - more than you can count easily,Many people came to the party.
a lot of,很多,/ə lɔt əv/,determiner,many things - too many to count,There's a lot of work to do.
few,很少,/fju/,determiner,not many - just a small number,Few students passed the exam.
little,很少,/ˈlɪtəl/,determiner,not much - just a small amount,I have little time today.
enough,足够的,/ɪˈnəf/,determiner,"just the right amount - not too much, not too little",Do we have enough food?
too much,太多,/tu məʧ/,determiner,more than you need - way too many,That's too much sugar!
too many,太多,/tu ˈmɛni/,determiner,more than you want - more than enough,There are too many people here.
a bottle of,一瓶,/ə ˈbɑtəl əv/,noun,enough to fill one bottle - like a bottle of water,Can I have a bottle of water?
a box of,一盒,/ə bɑks əv/,noun,enough to fill one box - like a box of chocolates,She gave me a box of chocolates.
a jar of,一罐,/ə ʤɑr əv/,noun,enough to fill one jar - like a jar of honey,I need a jar of honey.
a glass of,一杯,/ə glæs əv/,noun,enough to fill one glass - like a glass of juice,Would you like a glass of juice?
a cup of,一杯,/ə kəp əv/,noun,enough to fill one cup - like a cup of hot chocolate,I drink a cup of coffee every morning.
a packet of,一包,/ə ˈpækɪt əv/,noun,what comes in one small package - like a packet of sugar,"Buy a packet of sugar, please."
a bag of,一袋,/ə bæg əv/,noun,enough to fill one bag - like a bag of apples,I bought a bag of apples.
a kilo of,一公斤,/ə ˈkɪˌloʊ əv/,noun,one kilogram - about as heavy as a small book,I need a kilo of rice.
a kilogram of,一公斤,/ə ˈkɪləˌgræm əv/,noun,one thousand grams - a unit for measuring weight,The recipe needs a kilogram of flour.
a pound of,一磅,/ə paʊnd əv/,noun,a unit of weight - about as heavy as a can of soup,Can I get a pound of cheese?
a piece of,一块,/ə pis əv/,noun,one part of something bigger - like a piece of cake,Would you like a piece of cake?
a slice of,一片,/ə slaɪs əv/,noun,one thin cut piece - like a slice of pizza or bread,I'll have a slice of pizza.
a portion of,一份,/ə ˈpɔrʃən əv/,noun,one serving - enough for one person to eat,This is a large portion of pasta.
a glass,一个杯子,/ə glæs/,noun,a container made of glass for drinking,Fill the glass with water.
a plate,一个碟子,/ə pleɪt/,noun,a flat dish for serving food,Put your food on the plate.
a cup,一个咖啡杯,/ə kəp/,noun,a small container with a handle for drinking,I drink coffee from a cup.
restaurant,餐厅,/ˈrestrɒnt/,noun,a place where you sit down and order food - someone cooks for you,We had dinner at a nice restaurant.
café,咖啡馆,/kæˈfeɪ/,noun,a cozy place where you drink coffee and eat light meals,Let's meet at the café downtown.
bar,酒吧,/bɑr/,noun,a place where adults go to drink alcohol and chat,They went to the bar after work.
terrace,露台,/ˈtɛrəs/,noun,an outdoor area where you can eat and enjoy the fresh air,We sat on the terrace for lunch.
table,桌子,/ˈteɪbəl/,noun,a flat surface with legs - you eat and work on it,Can we get a table for two?
chair,椅子,/ʧɛr/,noun,a seat with a back - you sit on it at the table,Please sit in this chair.
menu,菜单,/ˈmɛnju/,noun,a list with pictures and prices showing all the food you can order,"Can I see the menu, please?"
waiter,服务员,/ˈweɪtər/,noun,a person who brings you food and takes your order at restaurants,The waiter was very friendly.
waitress,服务员,/ˈweɪtrəs/,noun,a woman who serves you food and drinks at restaurants,The waitress took our order.
customer,客人/顾客,/ˈkəstəmər/,noun,a person who buys things - like you when you go shopping,The customer is always right.
chef,厨师,/ʃɛf/,noun,a professional cook who makes amazing food in restaurants,The chef cooked a wonderful meal.
to order,点餐,/ˈɔrdər/,verb,to tell the waiter what food you want to eat,Are you ready to order?
order,点菜,/ˈɔrdər/,verb,to ask for food at a restaurant,I'd like to order the pasta.
bill,账单,/bɪl/,noun,a piece of paper showing how much money you need to pay,"Can we have the bill, please?"
check,账单,/ʧɛk/,noun,the bill at a restaurant - shows what you owe,Could I get the check?
tip,小费,/tɪp/,noun,extra money you give to thank the waiter for good service,Don't forget to leave a tip.
appetizer,开胃菜,/ˈæpəˌtaɪzər/,noun,a small dish you eat before your main meal - like a snack,We shared an appetizer.
main course,主菜,/meɪn kɔrs/,noun,the biggest and most important dish of your meal,What's your main course?
main dish,主菜,/meɪn dɪʃ/,noun,the main part of your meal - the star of the show,The main dish was delicious.
dessert,甜点,/dɪˈzərt/,noun,sweet food you eat after dinner - like cake or ice cream,What would you like for dessert?
plate,盘子,/pleɪt/,noun,a flat dish where you put your food,Put the food on your plate.
bottle,瓶子,/ˈbɑtəl/,noun,a container with a narrow opening - holds liquids like water or juice,"Open the bottle, please."
fork,叉子,/fɔrk/,noun,a tool with pointy ends - you use it to pick up food,Use a fork to eat pasta.
knife,刀子,/naɪf/,noun,a tool with a sharp blade - be careful! Use it to cut food,Be careful with that knife.
spoon,勺子,/spun/,noun,a tool with a round end - perfect for eating soup,I need a spoon for soup.
cup,杯子,/kəp/,noun,a small container with a handle - you drink from it,This cup is too hot.
glass,玻璃,/glæs/,noun,a clear container made of glass - you can see through it,The glass is full.
salt,盐,/sɔlt/,noun,white tiny crystals that make food taste better - but don't use too much,"Pass me the salt, please."
pepper,胡椒,/ˈpɛpər/,noun,black or white powder that adds a little kick to your food,Add some pepper to taste.
sugar,糖,/ˈʃʊgər/,noun,sweet white crystals - makes everything taste better,I don't take sugar in my tea.
coffee,咖啡,/ˈkɔfi/,noun,"a dark, hot drink made from beans - wakes you up in the morning",I need my morning coffee.
tea,茶,/ti/,noun,a hot drink made from leaves - very relaxing,Would you like some tea?
hot chocolate,热巧克力,/hɑt ˈʧɔklət/,noun,"a warm, sweet drink made from cocoa - perfect for cold days",Hot chocolate warms you up.
croissant,牛角面包,/kwɑːˈsɑːnt/,noun,"a buttery, flaky French pastry shaped like a crescent moon",I had a croissant with my coffee.
cake,蛋糕,/keɪk/,noun,"a sweet, fluffy dessert that makes birthdays special - usually has frosting on top",Happy birthday! Here's your cake.
pastry,糕点,/ˈpeɪstri/,noun,a sweet baked treat - like a cookie or a small cake,I bought a pastry from the bakery.
sandwich,三明治,/ˈsænwɪʧ/,noun,food between two slices of bread - easy to eat,I made a sandwich for lunch.
drink,喝,/drɪŋk/,verb,to consume liquid - swallow,Drink water.
service,服务,/ˈsərvɪs/,noun,how well the staff helps you - good service means friendly people,The service at this restaurant is excellent.
T-shirt,T恤,/ˈtiˌsərt/,noun,a casual shirt with short sleeves - super comfortable,I wear a T-shirt every day.
shirt,衬衫,/ʃərt/,noun,a piece of clothing for your upper body - has buttons,He put on a clean shirt.
sweater,毛衣,/sˈwɛtər/,noun,"a warm, cozy piece of clothing - perfect for cold weather","It's cold, wear a sweater."
coat,大衣,/koʊt/,noun,"a long, warm jacket you wear outside when it's cold",Don't forget your coat.
jacket,夹克,/ˈʤækɪt/,noun,a short coat - keeps you warm,This jacket is too small.
blouse,女式衬衫,/blaʊs/,noun,a nice shirt for women - usually fancier than a T-shirt,She bought a new blouse.
raincoat,雨衣,/ˈreɪnˌkoʊt/,noun,a special coat that keeps you dry when it rains,"Take your raincoat, it's raining."
trousers,裤子,/ˈtraʊzərz/,noun,clothing that covers your legs - you wear them every day,These trousers don't fit.
pants,裤子,/pænts/,noun,clothing for your legs - everyone wears them,I need to buy new pants.
jeans,牛仔裤,/ʤinz/,noun,casual pants made from denim - blue and super comfortable,Jeans are comfortable to wear.
skirt,裙子,/skərt/,noun,clothing for women that hangs from the waist - no legs,She wore a blue skirt.
shorts,短裤,/ʃɔrts/,noun,short pants that end above your knees - perfect for hot days,"It's hot, wear shorts."
suit,西装,/sut/,noun,formal matching jacket and pants - you wear it to important events,He looks good in a suit.
dress,连衣裙,/drɛs/,noun,a one-piece clothing for women - pretty and elegant,She wore a beautiful dress.
accessories,配件,/ækˈsɛsəriz/,noun,"extra items like jewelry, bags, and belts - they make your outfit special",Jewelry and bags are accessories.
shoes,鞋子,/ʃuz/,noun,coverings for your feet - protect your feet and look cool,I need new shoes.
boots,靴子,/buts/,noun,shoes that cover your ankles - great for winter,Wear boots in winter.
socks,袜子,/sɑks/,noun,soft coverings for your feet - wear them inside your shoes,Put on clean socks.
hat,帽子,/hæt/,noun,something you wear on your head - keeps the sun off your face,Wear a hat in the sun.
cap,帽子,/kæp/,noun,a casual hat with a peak - like a baseball cap,He always wears a cap.
gloves,手套,/gləvz/,noun,coverings for your hands - keep them warm in winter,These gloves keep my hands warm.
scarf,围巾,/skɑrf/,noun,a long piece of cloth you wrap around your neck - keeps you cozy,A scarf keeps your neck warm.
belt,腰带,/bɛlt/,noun,a strip you wear around your waist - holds your pants up,Tighten your belt.
glasses,眼镜/太阳镜,/ˈglæsɪz/,noun,frames with lenses - help you see better,I can't read without my glasses.
sunglasses,眼镜/太阳镜,/ˈsənˌglæsɪz/,noun,dark glasses that protect your eyes from bright sun,Sunglasses protect your eyes.
umbrella,雨伞,/ˈəmˌbrɛlə/,noun,a device you hold above your head - keeps you dry in rain,Don't forget your umbrella.
handbag,手提包,/ˈhændˌbæg/,noun,a bag that women carry - holds all their stuff,She left her handbag at home.
jewelry,珠宝,/ˈʤuəlri/,noun,"pretty things like rings, necklaces, and earrings - makes you look fancy",She loves expensive jewelry.
cotton,棉花,/ˈkɔtən/,noun,soft material from plants - your T-shirts are made of this,Cotton is soft and comfortable.
wool,羊毛,/wʊl/,noun,"warm, fuzzy material from sheep - sweaters are made of this",Wool keeps you warm.
silk,丝绸,/sɪlk/,noun,"smooth, shiny material - feels super luxurious",Silk feels smooth.
leather,皮革,/ˈlɛðər/,noun,strong material from animal skin - shoes and bags are made of this,Leather shoes last long.
wood,木头,/wʊd/,noun,material from trees - your table and chair are made of this,This table is made of wood.
stone,石头,/stoʊn/,noun,hard material from rocks - very strong and lasts forever,The house is built with stone.
metal,金属,/ˈmɛtəl/,noun,"hard, shiny material - like iron or steel",Metal is strong.
plastic,塑料,/ˈplæstɪk/,noun,"light, man-made material - many things are made of this",Plastic bottles are recyclable.
glass,玻璃,/glæs/,noun,a clear container made of glass - you can see through it,The glass is full.
rubber,橡胶,/ˈrəbər/,noun,"bouncy, flexible material - your eraser is made of this",Rubber is flexible.
paper,纸,/ˈpeɪpər/,noun,thin material made from trees - you write and draw on it,Write on paper.
fabric,布料,/ˈfæbrɪk/,noun,material used to make clothing - soft and flexible,This fabric is beautiful.
household chores,家务,/ˈhaʊsˌhoʊld ʧɔrz/,noun,tasks you do to keep your home clean and tidy,I do household chores on weekends.
to do housework,打扫卫生,/du ˈhaʊsˌwərk/,verb,to clean and organize your home - makes it nice to live in,I need to do housework today.
to clean,清洁,/klin/,verb,to make something free from dirt - wipe and scrub,Let's clean the house.
to wash,洗,/wɑʃ/,verb,to clean something with water and soap,I wash my clothes every week.
to sweep,扫地,/swip/,verb,to clean the floor with a broom - push dirt away,"Sweep the floor, please."
to vacuum,使用吸尘器,/ˈvækjum/,verb,to clean carpets with a machine that sucks up dirt,I vacuum the carpet.
to tidy up,整理,/ˈtaɪdi əp/,verb,to put things in their right places - make everything neat,Tidy up your room.
to organize,整理,/ˈɔrgəˌnaɪz/,verb,to arrange things neatly - find everything easily,Organize your books.
to do the dishes,洗碗,/du ðə ˈdɪʃɪz/,verb,"to wash plates, cups, and utensils after eating",Who will do the dishes?
to make the bed,铺床,/meɪk ðə bɛd/,verb,to arrange the sheets and covers nicely,Make your bed every morning.
to do the laundry,洗衣服,/du ðə ˈlɔndri/,verb,to wash your dirty clothes,I do the laundry on Sundays.
to wash clothes,洗衣服,/wɑʃ kloʊðz/,verb,to clean your clothing with water and detergent,I need to wash clothes.
to iron,熨烫,/aɪərn/,verb,to remove wrinkles from clothes using a hot iron,I iron my shirts.
ironing,熨烫,/ˈaɪərnɪŋ/,noun,the task of making clothes smooth and wrinkle-free,Ironing takes time.
to cook,做饭,/kʊk/,verb,to prepare food by heating it - make delicious meals,I love to cook dinner.
to do the shopping,购物,/du ðə ˈʃɑpɪŋ/,verb,to go to stores and buy things you need,Let's do the shopping together.
to do DIY,修补,/du diy*/,verb,to make or fix things yourself - be creative,He likes to do DIY projects.
to fix things,修补,/fɪks θɪŋz/,verb,to repair broken items - make them work again,Can you fix things?
DIY,修补,/diy*/,noun,doing repairs or making things yourself - save money,DIY saves money.
to garden,园艺,/ˈgɑrdən/,verb,to work in a garden - plant flowers and vegetables,She loves to garden.
gardening,园艺,/ˈgɑrdənɪŋ/,noun,the fun activity of growing plants and flowers,Gardening is relaxing.
vacuum cleaner,吸尘器,/ˈvækjum ˈklinər/,noun,a machine that sucks up dirt from carpets,The vacuum cleaner is broken.
broom,扫帚,/brum/,noun,a tool with bristles - you sweep the floor with it,Use a broom to sweep.
mop,拖把,/mɑp/,noun,a tool for cleaning floors with water,Clean the floor with a mop.
washing machine,洗衣机,/ˈwɑʃɪŋ məˈʃin/,noun,a machine that washes your clothes automatically,Put clothes in the washing machine.
dishwasher,洗碗机,/ˈdɪʃˌwɑʃər/,noun,a machine that washes dishes for you,Load the dishwasher.
free time,空闲时间,/fri taɪm/,noun,time when you're not working or studying - do fun things,What do you do in your free time?
to relax,放松,/rɪˈlæks/,verb,to rest and feel calm - take a break,I relax after work.
to take a walk,散步,/teɪk ə wɔk/,verb,"to go for a slow, peaceful walk",Let's take a walk in the park.
to go for a walk,散步,/goʊ fər ə wɔk/,verb,to walk outside for exercise or fun,I go for a walk every evening.
sport,运动,/spɔrt/,noun,"physical activities like running, swimming, or playing games",What sport do you play?
to do sport,运动,/du spɔrt/,verb,to play sports or exercise - stay healthy,I do sport three times a week.
to exercise,运动,/ˈɛksərˌsaɪz/,verb,to move your body to stay fit and healthy,Exercise is good for health.
football,足球,/ˈfʊtˌbɔl/,noun,a game where you kick a ball - very popular,Football is popular here.
soccer,足球,/ˈsɑkər/,noun,a game where you kick a ball into a goal,Soccer is fun to play.
tennis,网球,/ˈtɛnɪs/,noun,a game played with a racket and ball - hit it back and forth,Do you play tennis?
swimming,游泳,/sˈwɪmɪŋ/,noun,moving through water using your arms and legs - super fun,Swimming is great exercise.
running,跑步,/ˈrənɪŋ/,noun,moving fast on foot - great exercise,Running keeps me fit.
cycling,骑自行车,/ˈsaɪkəlɪŋ/,noun,riding a bicycle - fun and eco-friendly,Cycling is eco-friendly.
hiking,徒步,/ˈhaɪkɪŋ/,noun,walking in nature on trails - see beautiful views,We went hiking in the mountains.
to read,阅读,/rɛd/,verb,to look at words in a book and understand them,I read before bed.
reading,阅读,/ˈrɛdɪŋ/,noun,the activity of enjoying books and stories,Reading is my hobby.
to listen to music,听音乐,/ˈlɪsən tɪ mˈjuzɪk/,verb,to hear songs and sounds - very relaxing,I listen to music while working.
to play music,做音乐，演奏,/pleɪ mˈjuzɪk/,verb,to make music with instruments - create beautiful sounds,She loves to play music.
to watch a movie,看电影,/wɔʧ ə ˈmuvi/,verb,to view a film - like going to the cinema at home,Let's watch a movie tonight.
to watch TV,看电视,/wɔʧ ˌtɛləˈvɪʒən/,verb,to view television programs - entertainment,I watch TV in the evening.
to go to the cinema,去电影院,/goʊ tɪ ðə ˈsɪnəmə/,verb,to go to a place to watch movies on a big screen,We go to the cinema on weekends.
theater,剧院,/ˈθieɪtər/,noun,a building where actors perform plays on stage,The theater is downtown.
museum,博物馆,/mˈjuziəm/,noun,"a building where you can see art, history, and cool things",The museum is free on Sundays.
to surf the Internet,上网,/sərf ðə ˈɪntərˌnɛt/,verb,to look at websites and information online,I surf the Internet every day.
to go online,上网,/goʊ ˈɔnˌlaɪn/,verb,to connect to the Internet - browse the web,I go online to check email.
cooking,烹饪,/ˈkʊkɪŋ/,noun,the fun activity of preparing food,Cooking is an art.
photography,摄影,/fəˈtɑgrəfi/,noun,the art of taking pictures - capture memories,Photography is expensive.
gardening,园艺,/ˈgɑrdənɪŋ/,noun,the fun activity of growing plants and flowers,Gardening is relaxing.
painting,绘画,/ˈpeɪnɪŋ/,noun,creating pictures with paint - be artistic,Painting relaxes me.
to play video games,玩电子游戏,/pleɪ ˈvɪdioʊ geɪmz/,verb,to play games on a computer or console - have fun,He plays video games all day.
to travel,旅行,/ˈtrævəl/,verb,to go to different places - see the world,I love to travel.
to wake up,醒来,/weɪk əp/,verb,to stop sleeping - open your eyes in the morning,I wake up at seven.
to get up,起床,/gɪt əp/,verb,to leave your bed - start your day,"Get up, it's morning!"
to brush one's teeth,刷牙,/brəʃ wənz tiθ/,verb,to clean your teeth with a toothbrush - keep them healthy,Brush your teeth twice a day.
to wash one's face,洗脸,/wɑʃ wənz feɪs/,verb,to clean your face with water - feel fresh,Wash your face with water.
to comb one's hair,梳理头发,/koʊm wənz hɛr/,verb,to arrange your hair with a comb - look neat,Comb your hair before going out.
to put on makeup,化妆,/pʊt ɔn ˈmeɪˌkəp/,verb,to apply cosmetics to your face - look pretty,She takes time to put on makeup.
to have breakfast,吃早餐,/hæv ˈbrɛkfəst/,verb,to eat the morning meal - start your day right,I have breakfast at eight.
to get ready,准备,/gɪt ˈrɛdi/,verb,to prepare yourself - get dressed and organized,"Get ready, we're leaving soon."
to get dressed,穿衣服,/gɪt drɛst/,verb,to put on your clothes - cover yourself,Get dressed quickly.
to shave,剃须,/ʃeɪv/,verb,to remove hair from your face with a razor,He shaves every morning.
to leave for work,去上班/离开,/liv fər wərk/,verb,to go to your job - start working,I leave for work at nine.
to go to work,去上班,/goʊ tɪ wərk/,verb,to travel to your workplace,I go to work by bus.
to work,工作,/wərk/,verb,to do your job - earn money,Does this work?
to take care of the children,照顾孩子们,/teɪk kɛr əv ðə ˈʧɪldrən/,verb,to look after kids - keep them safe and happy,She takes care of the children.
to have lunch,吃午餐,/hæv lənʧ/,verb,to eat the midday meal - refuel,We have lunch at noon.
to have dinner,吃晚餐,/hæv ˈdɪnər/,verb,to eat the evening meal - the biggest meal,What time do you have dinner?
to rest,休息,/rɛst/,verb,to relax and stop working - take a break,Rest after exercise.
to go home,回家,/goʊ hoʊm/,verb,to return to your house - back to comfort,I go home after work.
to take a shower,洗澡,/teɪk ə ʃaʊər/,verb,to wash your body with water - feel clean,I take a shower every morning.
to go to bed,上床睡觉,/goʊ tɪ bɛd/,verb,to get into bed - time to sleep,I go to bed at ten.
to fall asleep,入睡,/fɔl əsˈlip/,verb,to start sleeping - drift off,I fall asleep quickly.
father,父亲,/ˈfɑðər/,noun,your dad - a male parent who loves you,My father is a teacher.
mother,母亲,/ˈməðər/,noun,your mom - a female parent who takes care of you,My mother cooks well.
son,儿子,/sən/,noun,a male child - a boy,Their son is five years old.
daughter,女儿,/ˈdɔtər/,noun,a female child - a girl,She has a daughter.
brother,兄弟,/ˈbrəðər/,noun,a male sibling - your male brother or sister,I have one brother.
sister,姐妹,/ˈsɪstər/,noun,a female sibling - your female brother or sister,Do you have a sister?
parents,父母,/ˈpɛrənts/,noun,your mom and dad - the people who raised you,My parents live in the city.
children,孩子们,/ˈʧɪldrən/,noun,young people - sons and daughters,Children love to play.
grandfather,祖父,/ˈgrænˌfɑðər/,noun,your dad's or mom's dad - your grandpa,My grandfather tells stories.
grandmother,祖母,/ˈgrændˌməðər/,noun,your dad's or mom's mom - your grandma,Grandmother makes cookies.
grandson,孙子,/ˈgrændˌsən/,noun,your child's son - your son's or daughter's boy,The grandson visits every week.
granddaughter,孙女,/ˈgrænˌdɔtər/,noun,your child's daughter - your son's or daughter's girl,She has a granddaughter.
uncle,叔叔/舅舅,/ˈəŋkəl/,noun,your mom's or dad's brother - family,My uncle lives nearby.
aunt,阿姨/姑姑,/ɔnt/,noun,your mom's or dad's sister - family,Aunt Mary is coming today.
cousin,堂/表兄弟/姐妹,/ˈkəzən/,noun,your aunt's or uncle's child - family member,I have many cousins.
husband,丈夫,/ˈhəzbənd/,noun,a married man - a woman's spouse,Her husband is kind.
wife,妻子,/waɪf/,noun,a married woman - a man's spouse,His wife is a doctor.
stepfather,继父,/ˈstɛpˌfɑðər/,noun,your mom's husband who isn't your biological dad,My stepfather is nice.
stepmother,继母,/ˈstɛpˌməðər/,noun,your dad's wife who isn't your biological mom,She has a stepmother.
father-in-law,岳父,/ˈfɑðərɪnˌlɔ/,noun,your spouse's dad,I visit my father-in-law.
mother-in-law,岳母,/ˈməðərɪnˌlɔ/,noun,your spouse's mom,She gets along with her mother-in-law.
brother-in-law,姐夫/妹夫/内兄,/ˈbrəðərɪnˌlɔ/,noun,your spouse's brother,My brother-in-law is funny.
sister-in-law,嫂子/弟媳/大姨子,/ˈsɪstərɪnˌlɔ/,noun,your spouse's sister,She likes her sister-in-law.
single,单身的,/ˈsɪŋgəl/,adjective,not married - no spouse,She is single.
married,已婚的,/ˈmɛrid/,adjective,having a spouse - committed to one person,They are married.
divorced,离婚的,/dɪˈvɔrst/,adjective,no longer married - marriage ended,He is divorced.
widowed,丧偶的,/ˈwɪdoʊd/,adjective,your spouse has died - very sad,She is widowed.
engaged,订婚的,/ɪnˈgeɪʤd/,adjective,promised to be married - about to get married,They are engaged.
to get married,结婚,/gɪt ˈmɛrid/,verb,to become husband and wife - start a life together,When will you get married?
to get engaged,订婚,/gɪt ɪnˈgeɪʤd/,verb,to promise to marry someone - give a ring,They got engaged last month.
to get divorced,离婚,/gɪt dɪˈvɔrst/,verb,to end a marriage - separate legally,They got divorced last year.
marriage,婚姻,/ˈmɛrɪʤ/,noun,the relationship of being married - commitment,Marriage is a big commitment.
husband,丈夫,/ˈhəzbənd/,noun,a married man - a woman's spouse,Her husband is kind.
wife,妻子,/waɪf/,noun,a married woman - a man's spouse,His wife is a doctor.
friend,朋友,/frɛnd/,noun,a person you like and spend time with - someone you trust,She is my best friend.
neighbor,邻居,/ˈneɪbər/,noun,a person who lives near you - next door,Our neighbor is friendly.
colleague,同事,/ˈkɑlig/,noun,a person you work with - coworker,My colleague is helpful.
classmate,同学,/ˈklæsˌmeɪt/,noun,a person in your class - study together,She was my classmate.
partner,伙伴/搭档,/ˈpɑrtnər/,noun,a person you work or do things with - teammate,My partner helps me.
stranger,陌生人,/ˈstreɪnʤər/,noun,a person you don't know - be careful,Don't talk to strangers.
body,身体,/ˈbɑdi/,noun,your whole physical self - from head to toe,Take care of your body.
tall,高的,/tɔl/,adjective,having great height - very high,He is very tall.
short,短的,/ʃɔrt/,adjective,having little height - not tall,She is short.
fat,胖的,/fæt/,adjective,having too much weight - not polite to say,That word is not polite.
overweight,胖的,/ˌoʊvərˈweɪt/,adjective,having more weight than is healthy,He is overweight.
thin,瘦的,/θɪn/,adjective,having little weight - slim,She is thin.
slim,瘦的,/slɪm/,adjective,thin in an attractive way - fit,She has a slim figure.
round,圆的,/raʊnd/,adjective,shaped like a circle - curved,The table is round.
of average height,中等身材,/əv ˈævərɪʤ haɪt/,preposition,neither very tall nor very short - normal height,He is of average height.
height,身高/尺寸,/haɪt/,noun,how tall someone or something is,What's your height?
beard,胡须,/bɪrd/,noun,hair on a man's face - grows on chin and cheeks,He has a long beard.
