word,translation,pronunciation,partOfSpeech,definition,exampleSentence
to ride a bike,骑自行车,/raɪd ə baɪk/,verb,to pedal a bicycle - fun and eco-friendly,I ride a bike to work.
to cycle,骑自行车,/ˈsaɪkəl/,verb,to ride a bicycle - pedal and move,Cycling is eco-friendly.
to take a walk,散步,/teɪk ə wɔk/,verb,"to go for a slow, peaceful walk - enjoy nature",Let's take a walk.
to go hiking,徒步旅行,/goʊ ˈhaɪkɪŋ/,verb,to walk in nature on trails - see beautiful views,We go hiking on weekends.
to play football,踢足球,/pleɪ ˈfʊtˌbɔl/,verb,to kick a ball in a game - very popular sport,Do you play football?
soccer,踢足球,/ˈsɑkər/,noun,a game where you kick a ball into a goal - exciting,Soccer is popular here.
to play tennis,打网球,/pleɪ ˈtɛnɪs/,verb,to hit a ball with a racket - back and forth,She plays tennis well.
to swim,游泳,/swɪm/,verb,to move through water - super fun exercise,I swim at the pool.
to go rock climbing,攀岩,/goʊ rɑk ˈklaɪmɪŋ/,verb,to climb rocks - exciting and challenging,Rock climbing is exciting.
to go canoeing,划独木舟,/goʊ kəˈnuɪŋ/,verb,to paddle a canoe on water - peaceful adventure,We went canoeing last summer.
water sports,水上运动,/ˈwɔtər spɔrts/,noun,"sports played in or on water - swimming, surfing, etc.",Water sports are fun.
to stroll,散步,/stroʊl/,verb,to walk slowly and leisurely - enjoy the moment,We strolled through the park.
to have a picnic,野餐,/hæv ə ˈpɪkˌnɪk/,verb,to eat food outdoors - fun with friends,Let's have a picnic.
to do gardening,园艺,/du ˈgɑrdənɪŋ/,verb,to work in a garden - grow beautiful plants,Gardening is relaxing.
to visit,参观,/ˈvɪzɪt/,verb,to go see a place or person - explore and learn,I want to visit Paris.
to go shopping,购物,/goʊ ˈʃɑpɪŋ/,verb,to buy things at stores - find what you need,I go shopping on weekends.
to go to the park,去公园,/goʊ tɪ ðə pɑrk/,verb,to visit a park - play and relax,Children love to go to the park.
to go camping,露营,/goʊ ˈkæmpɪŋ/,verb,to sleep outdoors in a tent - under the stars,Camping is fun.
to go on an excursion,远足,/goʊ ɔn ən ɪkˈskərʒən/,verb,to take a trip - explore new places,We went on an excursion.
to observe nature,观察自然,/əbˈzərv ˈneɪʧər/,verb,to watch plants and animals - learn about the world,I love to observe nature.
to get fresh air,呼吸新鲜空气,/gɪt frɛʃ ɛr/,verb,to breathe clean outdoor air - feel refreshed,Get some fresh air outside.
to get up,起床,/gɪt əp/,verb,to leave your bed - start your day,I get up at seven.
to take a shower,洗澡,/teɪk ə ʃaʊər/,verb,to wash your body with water - feel clean,I take a shower every morning.
to wash,洗澡,/wɑʃ/,verb,to clean something with water and soap,Wash the vegetables.
to brush one's teeth,刷牙,/brəʃ wənz tiθ/,verb,to clean your teeth with a toothbrush - keep them healthy,Brush your teeth twice a day.
to have breakfast,吃早餐,/hæv ˈbrɛkfəst/,verb,to eat the morning meal - start your day right,I have breakfast at eight.
to go to work,去上班,/goʊ tɪ wərk/,verb,to travel to your workplace,I go to work by bus.
to go home,回家,/goʊ hoʊm/,verb,to return to your house - back to comfort,I go home after work.
to go to bed,睡觉,/goʊ tɪ bɛd/,verb,to get into bed - time to sleep,I go to bed at ten.
to do the shopping,购物,/du ðə ˈʃɑpɪŋ/,verb,to go to stores and buy things you need,Let's do the shopping together.
to cook,做饭,/kʊk/,verb,to prepare food by heating it - make delicious meals,I cook dinner every night.
to do housework,做家务,/du ˈhaʊsˌwərk/,verb,to clean and organize your home - make it nice to live in,I do housework on Saturdays.
to do the laundry,洗衣服,/du ðə ˈlɔndri/,verb,to wash your dirty clothes - make them fresh,I do the laundry on Sundays.
to pay bills,付账单,/peɪ bɪlz/,verb,"to give money for services - electricity, water, etc.",I pay bills online.
to make an appointment,预约,/meɪk ən əˈpɔɪntmənt/,verb,to schedule a meeting - plan ahead,Make an appointment with the doctor.
routine,日常习惯,/ruˈtin/,noun,things you do regularly - daily habits,I have a morning routine.
pace of life,生活节奏,/peɪs əv laɪf/,noun,how fast life moves - busy or relaxed,The pace of life is fast here.
daily life,日常生活,/ˈdeɪli laɪf/,noun,things you do every day - normal activities,Daily life can be busy.
habits,习惯,/ˈhæbəts/,noun,things you do regularly - good or bad,Good habits are important.
to fall in love at first sight,一见钟情,/fɔl ɪn ləv æt fərst saɪt/,verb,to love someone immediately - instant attraction,They fell in love at first sight.
to have a child,生孩子,/hæv ə ʧaɪld/,verb,to become a parent - raise a kid,They want to have a child.
to move,搬家,/muv/,verb,to change where you live - new home,We moved to a new city.
to be single,单身,/bi ˈsɪŋgəl/,verb,not married - no partner,She is single.
to be in a relationship,恋爱中,/bi ɪn ə riˈleɪʃənˌʃɪp/,verb,to have a romantic partner - dating,They are in a relationship.
to get to know,结识,/gɪt tɪ noʊ/,verb,to learn about someone - become friends,I want to get to know you better.
to grow up,成长,/groʊ əp/,verb,to become an adult - change and learn,I grew up in the countryside.
to be born,出生,/bi bɔrn/,verb,to come into the world - start of life,I was born in 1990.
to meet someone,遇见某人,/mit ˈsəmˌwən/,verb,to see someone for the first time - introduction,Nice to meet you!
to meet,相遇,/mit/,verb,to see someone - get together,Let's meet at the café.
to make friends,交朋友,/meɪk frɛndz/,verb,to become friends with someone - build relationships,It's easy to make friends here.
to get married (to someone),结婚,/gɪt ˈmɛrid/,verb,to become husband and wife - start a life together,They got married last year.
to break up (with someone),分手,/breɪk əp/,verb,to end a relationship - separate,They broke up last month.
to settle down,安家落户,/ˈsɛtəl daʊn/,verb,to start a stable life - get married and have a home,They want to settle down.
to fall in love (with someone),爱上某人,/fɔl ɪn ləv/,verb,to start loving someone - romantic feelings,She fell in love with him.
single person,单身者,/ˈsɪŋgəl ˈpərsən/,noun,a person who is not married - no spouse,She is a single person.
spouse,配偶,/spaʊs/,noun,your husband or wife - married partner,My spouse is kind.
couple,夫妇,/ˈkəpəl/,noun,two people in a relationship - together,They are a happy couple.
child,孩子,/ʧaɪld/,noun,a young person - son or daughter,Children love to play.
wife,妻子,/waɪf/,noun,a married woman - man's spouse,His wife is a doctor.
husband,丈夫,/ˈhəzbənd/,noun,a married man - woman's spouse,Her husband is kind.
best friend,最好的朋友,/bɛst frɛnd/,noun,your closest friend - someone you trust most,She is my best friend.
meeting,相遇,/ˈmitɪŋ/,noun,when people come together - gathering,We have a meeting at three.
family life,家庭生活,/ˈfæməli laɪf/,noun,life with your family - home and relationships,Family life is important.
to look for work,寻找工作,/lʊk fər wərk/,verb,to search for a job - find employment,I'm looking for work.
to become (trader,成为...,/bɪˈkəm/,verb,to start working as a trader - change career,I like to become (trader.
writer,成为...,/ˈraɪtər/,noun,a person who writes books or articles - creates stories,This is a writer.
comedian...),成为...,/kəˈmidiən...)/,noun,a person who makes people laugh - entertainer,This is a comedian...).
to finish one's studies,完成学业,/ˈfɪnɪʃ wənz ˈstədiz/,verb,to complete your education - graduate,I finished my studies last year.
to do an internship,实习,/du ən ˈɪntərnˌʃɪp/,verb,to work temporarily to learn - gain experience,I did an internship at a company.
to get a degree,获得学位,/gɪt ə dɪˈgri/,verb,to complete university education - graduate,I got a degree in engineering.
to work in a company,在公司工作,/wərk ɪn ə ˈkəmpəˌni/,verb,to have a job at a business - employment,I work in a company.
to practice,练习,/ˈpræktɪs/,verb,to do something repeatedly to get better - improve your skills,Practice makes perfect.
to do,做,/du/,verb,to perform an action - take action,What do you do?
to play,玩，进行,/pleɪ/,verb,to have fun and enjoy - engage in activities,Children love to play.
to devote oneself to,沉迷于，致力于,/dɪˈvoʊt ˌwənˈsɛlf tɪ/,verb,to give all your time and energy to something - fully commit,She devotes herself to her work.
to dedicate oneself to,致力于,/ˈdɛdəˌkeɪt ˌwənˈsɛlf tɪ/,verb,to commit completely to something - focus entirely,He dedicates himself to helping others.
to exercise,做运动,/ˈɛksərˌsaɪz/,verb,to move your body to stay fit - stay healthy,Exercise is good for health.
to ride a bike,骑自行车,/raɪd ə baɪk/,verb,to pedal a bicycle - fun and eco-friendly,I ride a bike to work.
to go rock climbing,攀岩,/goʊ rɑk ˈklaɪmɪŋ/,verb,to climb rocks - exciting and challenging,Rock climbing is exciting.
to go tree climbing,攀树,/goʊ tri ˈklaɪmɪŋ/,verb,to climb trees - fun outdoor activity,I like to go tree climbing.
to go hiking,徒步旅行,/goʊ ˈhaɪkɪŋ/,verb,to walk in nature on trails - see beautiful views,We go hiking on weekends.
to compete in...,参加比赛,/kəmˈpit ɪn.../,verb,to take part in a competition - try to win,They compete in swimming.
to play football,踢足球,/pleɪ ˈfʊtˌbɔl/,verb,to kick a ball in a game - very popular sport,Do you play football?
to go jogging,慢跑,/goʊ ˈʤɔgɪŋ/,verb,to run slowly for exercise - stay fit,I go jogging every morning.
to do DIY,做手工制作,/du diy*/,verb,to make or fix things yourself - be creative and save money,He loves to do DIY projects.
crafts,做手工,/kræfts/,noun,activities where you make things by hand - creative work,She enjoys doing crafts.
to paint,绘画,/peɪnt/,verb,to create pictures with paint - be artistic,Painting relaxes me.
to make a painting,绘画,/meɪk ə ˈpeɪnɪŋ/,verb,to create a picture with paint - artistic creation,He made a beautiful painting.
to garden,园艺,/ˈgɑrdən/,verb,to work in a garden - grow plants,I like to garden.
to watch a TV series,看电视剧,/wɔʧ ə ˌtɛləˈvɪʒən ˈsɪriz/,verb,to view a show with many episodes - binge watch,I watch a TV series every night.
to watch a match,看比赛,/wɔʧ ə mæʧ/,verb,to view a sports game - cheer for your team,We watch football matches together.
to play video games,玩电子游戏,/pleɪ ˈvɪdioʊ geɪmz/,verb,to play games on a computer or console - have fun and compete,He plays video games all weekend.
to practice a sport,从事一项运动,/ˈpræktɪs ə spɔrt/,verb,to train in a sport regularly - improve skills,I practice a sport regularly.
to play music,做音乐,/pleɪ mˈjuzɪk/,verb,to make music - create sounds,She loves to play music.
to play an instrument,演奏乐器,/pleɪ ən ˈɪnstrəmənt/,verb,to use a musical instrument - make music,Do you play an instrument?
to do theater,演戏,/du ˈθieɪtər/,verb,to act in plays - perform on stage,They do theater as a hobby.
to practice a language,练习一门语言,/ˈpræktɪs ə ˈlæŋgwɪʤ/,verb,to use a language to improve - learn by doing,I practice English every day.
to do volunteer work,做志愿者,/du ˌvɑlənˈtɪr wərk/,verb,to help others without pay - give back,I do volunteer work on weekends.
to be an amateur,是业余爱好者,/bi ən ˈæməˌʧər/,verb,to do something as a hobby - not professional,He is an amateur photographer.
to be professional,是专业的,/bi prəˈfɛʃənəl/,verb,to do something as a job - expert level,She is a professional dancer.
regularly,定期地,/ˈrɛgjələrli/,adverb,often and consistently - on a schedule,I exercise regularly.
often,经常,/ˈɔfən/,adverb,many times - frequently,I often go to the cinema.
from time to time,时不时,/frəm taɪm tɪ taɪm/,adverb,sometimes but not always - occasionally,I visit them from time to time.
occasionally,偶尔,/ɔˈkeɪʒənəˌli/,adverb,sometimes - now and then,I occasionally eat out.
sight,视觉,/saɪt/,noun,the ability to see - one of five senses,Sight is one of five senses.
vision,视觉,/ˈvɪʒən/,noun,the ability to see - your eyesight,She has good vision.
hearing,听觉,/ˈhirɪŋ/,noun,the ability to hear - listen with your ears,Hearing is important.
smell,气味,/smɛl/,verb,the ability to detect odors - sense scents,The smell of flowers is nice.
taste,味觉,/teɪst/,verb,the ability to detect flavors - sense food,This has a sweet taste.
touch,触觉,/təʧ/,verb,the ability to feel things - sense with skin,Touch the fabric gently.
to see,看见,/si/,verb,to use your eyes - look and notice,Can you see it?
to look at,看,/lʊk æt/,verb,to direct your eyes toward something - observe,Look at that!
to watch,看,/wɔʧ/,verb,to observe carefully - pay attention,Watch this movie.
to observe,观察,/əbˈzərv/,verb,to watch carefully - study,Observe carefully.
to catch sight of,瞥见,/kæʧ saɪt əv/,verb,to see briefly - spot something,I caught sight of a deer.
to distinguish,区分,/dɪˈstɪŋgwɪʃ/,verb,to tell the difference - recognize differences,Can you distinguish these colors?
photo album,相册,/ˈfoʊˌtoʊ ˈælbəm/,noun,a book with photos - memories in pictures,Show me your photo album.
to hear,听见,/hir/,verb,to use your ears - detect sounds,I can hear you.
to listen to,听,/ˈlɪsən tɪ/,verb,to pay attention to sounds - hear carefully,Listen to this song.
to hear about,听说,/hir əˈbaʊt/,verb,to learn about something - get news,Did you hear about the news?
to make noise,发出声音,/meɪk nɔɪz/,verb,to create sounds - produce sound,Don't make noise.
noise,声音,/nɔɪz/,noun,unwanted sound - loud sounds,The noise is too loud.
bird song,鸟鸣,/bərd sɔŋ/,noun,sounds birds make - beautiful nature sounds,I love bird song in the morning.
to smell,闻，感觉,/smɛl/,verb,to detect odors with your nose - sense scents,I like to smell.
to sniff,嗅,/snɪf/,verb,to smell by breathing in - detect scents,The dog sniffed the ground.
to have a smell,有味道,/hæv ə smɛl/,verb,to have an odor - give off scent,This has a strange smell.
to smell good,闻起来好/坏,/smɛl gʊd/,verb,to have a pleasant scent - nice aroma,These flowers smell good.
bad,闻起来好/坏,/bæd/,adjective,not good - unpleasant,This tastes bad.
odor,气味,/ˈoʊdər/,noun,a smell - can be good or bad,There's a bad odor here.
perfume,香水,/pərfˈjum/,noun,sweet-smelling liquid - makes you smell nice,She wears nice perfume.
to taste,尝一尝,/teɪst/,verb,to experience flavor - try food,"Taste this, it's good."
to have a taste,有味道,/hæv ə teɪst/,verb,to have a flavor - taste like something,Have a taste of this cake.
to savor,品味,/ˈseɪvər/,verb,to enjoy slowly - taste carefully,Savor every bite.
flavor,口味,/ˈfleɪvər/,noun,how something tastes - the taste,This has a strong flavor.
to touch,触摸,/təʧ/,verb,to feel with your hand - make contact,I like to touch.
to feel,触摸，检查,/fil/,verb,to experience a sensation - sense something,How do you feel?
to palpate,触摸，检查,/palpate*/,verb,to examine by touching - feel carefully,The doctor palpated my arm.
to caress,抚摸,/kərˈɛs/,verb,to touch gently - soft touch,She caressed the cat.
to hold hands,牵手,/hoʊld hænz/,verb,to hold someone's hand - show affection,They hold hands.
sea,海,/si/,noun,a large body of salt water - smaller than ocean,The sea is beautiful today.
ocean,海洋,/ˈoʊʃən/,noun,a huge body of salt water - covers most of Earth,The ocean is vast.
beach,海滩,/biʧ/,noun,sandy area by the sea - perfect for relaxing,We spent the day at the beach.
sand,沙子,/sænd/,noun,tiny grains on the beach - soft under your feet,The sand is warm.
waves,波浪,/weɪvz/,noun,moving water in the sea - rise and fall,The waves are big today.
shore,海岸,/ʃɔr/,noun,land next to water - where sea meets land,We walked along the shore.
coast,海岸,/koʊst/,noun,land along the ocean - beautiful views,The coast is rocky.
dune,沙丘,/dun/,noun,a hill of sand - formed by wind,We climbed the dune.
island,岛屿,/ˈaɪlənd/,noun,land surrounded by water - isolated place,We visited a small island.
coral reef,珊瑚礁,/ˈkɔrəl rif/,noun,underwater structure made by coral - colorful and alive,The coral reef is colorful.
at low tide,低潮时,/æt loʊ taɪd/,preposition,when the sea goes out - water recedes,"At low tide, we can walk far."
at high tide,高潮时,/æt haɪ taɪd/,preposition,when the sea comes in - water rises,"At high tide, the beach is smaller."
fish,鱼,/fɪʃ/,verb,an animal that lives in water - swims with fins,Fish is healthy.
shark,鲨鱼,/ʃɑrk/,noun,a large dangerous fish - sharp teeth,Sharks are dangerous.
whale,鲸鱼,/weɪl/,noun,a huge sea mammal - biggest animal,We saw a whale.
dolphin,海豚,/ˈdɑlfən/,noun,an intelligent sea mammal - very friendly,Dolphins are intelligent.
jellyfish,水母,/ˈʤɛliˌfɪʃ/,noun,a transparent sea creature - can sting,Watch out for jellyfish!
crab,螃蟹,/kræb/,noun,a sea creature with claws - walks sideways,Crabs walk sideways.
shrimp,虾,/ʃrɪmp/,noun,a small sea creature - delicious,I love shrimp.
seagull,海鸥,/ˈsiˌgəl/,noun,a bird that lives near the sea - flies over water,Seagulls fly over the beach.
to swim,游泳,/swɪm/,verb,to move through water - super fun exercise,I swim at the pool.
to bathe,洗澡，游泳,/beɪð/,verb,to wash yourself in water - get clean,We bathe in the sea.
to dive,潜水,/daɪv/,verb,to jump into water headfirst - go underwater,He learned to dive.
to surf,浏览,/sərf/,verb,to ride waves on a board - exciting sport,Surf the web.
to sail,帆船运动,/seɪl/,verb,to travel on water using wind - peaceful,We sail on weekends.
to fish,钓鱼,/fɪʃ/,verb,to catch fish - use a rod,I like to fish.
shell,贝壳,/ʃɛl/,noun,hard covering of sea creatures - collect on beach,I collected shells on the beach.
seaweed,海藻,/ˈsiˌwid/,noun,plant that grows in sea - green and slimy,Seaweed washes up on shore.
lighthouse,灯塔,/ˈlaɪˌthaʊs/,noun,tall tower with light - guides ships,The lighthouse guides ships.
port,港口,/pɔrt/,noun,place where ships dock - harbor,The ship arrived at the port.
harbor,港口,/ˈhɑrbər/,noun,safe place for ships - protected water,The harbor is busy.
boat,船,/boʊt/,noun,a boat - thing or person,We took a boat trip.
weather,天气,/ˈwɛðər/,noun,a weather - thing or person,The weather is nice today.
climate,气候,/ˈklaɪmɪt/,noun,a climate - thing or person,The climate here is mild.
temperature,温度,/ˈtemprətʃər/,noun,a temperature - thing or person,What's the temperature?
degrees,度数,/dɪˈgriz/,noun,multiple degree - more than one,It's 25 degrees today.
sky,天空,/skaɪ/,noun,a sky - thing or person,The sky is blue.
sun,太阳,/sən/,noun,a sun - thing or person,The sun is shining.
rain,雨,/reɪn/,noun,a rain - thing or person,It's going to rain.
snow,雪,/snoʊ/,noun,a snow - thing or person,It snowed yesterday.
wind,风,/wɪnd/,noun,a wind - thing or person,The wind is strong.
fog,雾,/fɔg/,noun,a fog - thing or person,There's thick fog today.
storm,雷雨,/stɔrm/,noun,a storm - thing or person,A storm is coming.
clouds,云,/klaʊdz/,noun,multiple cloud - more than one,The clouds are gray.
heatwave,热浪,/heatwave*/,noun,a heatwave - thing or person,We're having a heatwave.
heat,炎热,/hit/,noun,a heat - thing or person,The heat is unbearable.
coolness,凉爽,/ˈkulnəs/,noun,multiple coolnes - more than one,I enjoy the coolness of evening.
sunny,晴朗的,/ˈsəni/,adjective,having the quality of sunny - characteristic,It's sunny today.
cloudy,多云的,/ˈklaʊdi/,adjective,having the quality of cloudy - characteristic,It's cloudy outside.
rainy,多雨的,/ˈreɪni/,adjective,having the quality of rainy - characteristic,It's a rainy day.
snowy,下雪的,/snoʊi/,adjective,having the quality of snowy - characteristic,It's snowy in winter.
windy,有风的,/ˈwɪndi/,adjective,having the quality of windy - characteristic,It's windy today.
stormy,暴风雨的,/ˈstɔrmi/,adjective,having the quality of stormy - characteristic,The weather is stormy.
foggy,有雾的,/ˈfɑgi/,adjective,having the quality of foggy - characteristic,It's foggy this morning.
blue,蓝色的,/blu/,adjective,having the quality of blue - characteristic,Blue eyes are pretty.
gray,灰色的,/greɪ/,adjective,having the quality of gray - characteristic,The sky is gray.
grey,灰色的,/greɪ/,adjective,having the quality of grey - characteristic,Grey clouds filled the sky.
humid,潮湿的,/ˈjumɪd/,adjective,having the quality of humid - characteristic,It's humid today.
dry,干燥的,/draɪ/,adjective,having the quality of dry - characteristic,This is dry.
humid weather,潮湿的天气,/ˈjumɪd ˈwɛðər/,noun,a humid weather - thing or person,I don't like humid weather.
dry weather,干燥的天气,/draɪ ˈwɛðər/,noun,a dry weather - thing or person,Dry weather is better.
gray weather,阴沉的天气,/greɪ ˈwɛðər/,noun,a gray weather - thing or person,Gray weather makes me sad.
hot,热的,/hɑt/,adjective,having the quality of hot - characteristic,This is hot.
cold,冷的,/koʊld/,noun,a cold - thing or person,This is a cold.
mild,温和的,/maɪld/,adjective,having the quality of mild - characteristic,The weather is mild.
cool,凉爽的,/kul/,adjective,having the quality of cool - characteristic,It's cool outside.
degree,度,/dɪˈgri/,noun,a degree - thing or person,It's 20 degrees.
to be nice,天气好,/bi nis/,verb,to be nice - state or condition,The weather is nice.
beautiful weather,天气好,/ˈbjutəfəl ˈwɛðər/,noun,a beautiful weather - thing or person,We have beautiful weather.
to be bad weather,天气坏,/bi bæd ˈwɛðər/,verb,not good - unpleasant,It's bad weather today.
to rain,下雨,/reɪn/,verb,to rain - action,It rains a lot here.
to snow,下雪,/snoʊ/,verb,to snow - action,It snows in winter.
to freeze,结冰,/friz/,verb,to freeze - action,It freezes at night.
countryside,乡村,/ˈkəntriˌsaɪd/,noun,a countryside - thing or person,The countryside is peaceful.
forest,森林,/ˈfɔrɪst/,noun,a forest - thing or person,We walked through the forest.
woods,林地,/wʊdz/,noun,multiple wood - more than one,The woods are dark.
mountain,山,/ˈmaʊntən/,noun,a mountain - thing or person,The mountain is high.
summit,山顶,/ˈsəmɪt/,noun,a summit - thing or person,We reached the summit.
peak,山顶,/pik/,noun,a peak - thing or person,The peak is covered in snow.
hill,小山,/hɪl/,noun,a hill - thing or person,We climbed the hill.
valley,山谷,/ˈvæli/,noun,a valley - thing or person,The valley is green.
river,河流,/ˈrɪvər/,noun,a river - thing or person,The river flows slowly.
stream,小溪,/strim/,noun,a stream - thing or person,A stream runs through the field.
lake,湖,/leɪk/,noun,a lake - thing or person,The lake is calm.
field,田地,/fild/,noun,a field - thing or person,Cows are in the field.
meadow,草地,/ˈmɛˌdoʊ/,noun,a meadow - thing or person,The meadow is full of flowers.
path,小路,/pæθ/,noun,a path - thing or person,Follow this path.
trail,小径,/treɪl/,noun,a trail - thing or person,The trail is steep.
village,村庄,/ˈvɪlɪʤ/,noun,a village - thing or person,I grew up in a village.
farm,农场,/fɑrm/,noun,a farm - thing or person,The farm is large.
pasture,草地,/ˈpæsʧər/,noun,a pasture - thing or person,Sheep graze in the pasture.
vegetable garden,菜园,/ˈvɛʤtəbəl ˈgɑrdən/,noun,a vegetable garden - thing or person,We have a vegetable garden.
barn,谷仓,/bɑrn/,noun,a barn - thing or person,The barn is red.
tree,树,/tri/,noun,a tree - thing or person,The tree is tall.
flower,花,/flaʊər/,noun,a flower - thing or person,Flowers bloom in spring.
grass,草,/græs/,noun,multiple gras - more than one,The grass is green.
wheat field,麦田,/wit fild/,noun,a wheat field - thing or person,The wheat field is golden.
vine,葡萄藤,/vaɪn/,noun,a vine - thing or person,Grapes grow on the vine.
horse,马,/hɔrs/,noun,a horse - thing or person,Horses run fast.
cow,牛,/kaʊ/,noun,a cow - thing or person,Cows give milk.
sheep,羊,/ʃip/,noun,a sheep - thing or person,Sheep are fluffy.
hen,鸡,/hɛn/,noun,a hen - thing or person,The hen lays eggs.
chicken,鸡肉,/ˈʧɪkən/,noun,meat from a chicken - white meat,Chicken is delicious.
rooster,公鸡,/ˈrustər/,noun,a rooster - thing or person,The rooster crows at dawn.
chicken coop,鸡舍,/ˈʧɪkən kup/,noun,meat from a chicken - white meat,The chickens are in the coop.
chalet,小木屋,/ˈʃæˌleɪ/,noun,a chalet - thing or person,We stayed in a chalet.
cabin,小木屋,/ˈkæbən/,noun,a cabin - thing or person,The cabin is cozy.
country house,乡村房屋,/ˈkəntri haʊs/,noun,a country house - thing or person,They have a country house.
mill,磨坊,/mɪl/,noun,a mill - thing or person,The old mill is beautiful.
house,房子,/haʊs/,noun,a house - thing or person,This house is beautiful.
apartment,公寓,/əˈpɑrtmənt/,noun,a apartment - thing or person,I live in an apartment.
flat,公寓,/flæt/,noun,a flat - thing or person,The flat has two rooms.
studio,单间公寓,/ˈstudiˌoʊ/,noun,a studio - thing or person,A studio is small.
dormitory,宿舍,/ˈdɔrməˌtɔri/,noun,a dormitory - thing or person,I live in a dormitory.
apartment building,公寓楼,/əˈpɑrtmənt ˈbɪldɪŋ/,noun,a apartment building - thing or person,The apartment building is tall.
living room,客厅,/ˈlɪvɪŋ rum/,noun,a living room - thing or person,We watch TV in the living room.
kitchen,厨房,/ˈkɪʧən/,noun,a kitchen - thing or person,The kitchen is clean.
bedroom,卧室,/ˈbɛˌdrum/,noun,a bedroom - thing or person,My bedroom is cozy.
bathroom,浴室,/ˈbæθˌrum/,noun,a bathroom - thing or person,Where is the bathroom?
toilet,厕所,/ˈtɔɪlət/,noun,a toilet - thing or person,The toilet is over there.
restroom,厕所,/ˈrɛˌstrum/,noun,a restroom - thing or person,Can I use the restroom?
study,书房,/ˈstədi/,verb,to study - action,I work in my study.
office,书房,/ˈɔfəs/,noun,the amount in one office - measurement,I work in an office.
dining room,餐厅,/ˈdaɪnɪŋ rum/,noun,a room for eating - formal,The dining room is elegant.
hallway,走廊,/ˈhɔlˌweɪ/,noun,a hallway - thing or person,The hallway is narrow.
corridor,走廊,/ˈkɔrɪdər/,noun,a corridor - thing or person,Walk down the corridor.
laundry room,洗衣房,/ˈlɔndri rum/,noun,a laundry room - thing or person,The laundry room is downstairs.
balcony,阳台,/ˈbælkəni/,noun,a balcony - thing or person,We have coffee on the balcony.
terrace,露台,/ˈtɛrəs/,noun,an outdoor eating area - fresh air,We sat on the terrace.
garden,花园,/ˈgɑrdən/,verb,to garden - action,We have a garden.
garage,车库,/gərɑʒ/,noun,a garage - thing or person,Park the car in the garage.
basement,地下室,/ˈbeɪsmənt/,noun,a basement - thing or person,The basement is dark.
attic,阁楼,/ˈætɪk/,noun,a attic - thing or person,The attic is full of old things.
